sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,sy_dist
1,2,0,Transit,2016,Space,320.0700000
1,2,0,Transit,2016,Space,320.0700000
1,2,0,Transit,2016,Space,320.0700000
1,2,0,Transit,2016,Space,320.0700000
1,2,0,Transit,2021,Space,561.9290000
1,2,0,Transit,2021,Space,561.9290000
1,2,0,Transit,2021,Space,561.9290000
1,2,0,Transit,2019,Space,336.2500000
1,2,0,Transit,2019,Space,336.2500000
1,2,0,Transit,2019,Space,336.2500000
1,2,0,Transit,2019,Space,336.2500000
1,1,0,Transit,2021,Space,624.5120000
1,2,0,Transit,2019,Space,496.2890000
1,2,0,Transit,2019,Space,496.2890000
1,2,0,Transit,2019,Space,496.2890000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,2,0,Transit,2016,Space,244.5900000
1,1,0,Transit,2021,Space,150.1240000
1,1,0,Transit,2021,Space,150.1240000
1,1,0,Transit,2023,Space,121.9710000
1,1,0,Transit,2023,Space,121.9710000
1,1,0,Transit,2023,Space,121.9710000
2,1,0,Transit,2018,Space,372.6320000
2,1,0,Transit,2018,Space,372.6320000
1,1,0,Transit,2018,Space,551.8860000
1,3,0,Transit,2020,Space,321.2960000
1,3,0,Transit,2020,Space,321.2960000
1,3,0,Transit,2020,Space,321.2960000
1,1,0,Imaging,2008,Space,
1,2,0,Radial Velocity,2021,Ground,16.0090000
1,2,0,Radial Velocity,2021,Ground,16.0090000
1,1,0,Transit,2019,Space,27.9276000
1,1,0,Transit,2019,Space,27.9276000
1,1,0,Transit,2019,Space,27.9276000
1,2,0,Radial Velocity,2022,Ground,4.8486700
1,2,0,Radial Velocity,2022,Ground,4.8486700
1,3,0,Radial Velocity,2020,Ground,3.6727800
1,3,0,Radial Velocity,2020,Ground,3.6727800
1,3,0,Radial Velocity,2020,Ground,3.6727800
1,2,0,Transit,2015,Ground,12.6130000
1,2,0,Transit,2015,Ground,12.6130000
1,2,0,Transit,2015,Ground,12.6130000
1,2,0,Transit,2015,Ground,12.6130000
1,2,0,Transit,2015,Ground,12.6130000
1,2,0,Radial Velocity,2018,Ground,12.6130000
1,2,0,Radial Velocity,2010,Ground,11.0143000
1,2,0,Radial Velocity,2010,Ground,11.0143000
1,2,0,Radial Velocity,2010,Ground,11.0143000
1,2,0,Radial Velocity,2017,Ground,11.0143000
1,2,0,Radial Velocity,2017,Ground,11.0143000
1,1,0,Radial Velocity,2023,Ground,8.0362500
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2009,Ground,14.6427000
1,1,0,Transit,2020,Space,20.3730000
1,1,0,Transit,2020,Space,20.3730000
1,1,0,Transit,2020,Space,20.3730000
1,1,0,Transit,2020,Space,20.3730000
1,1,0,Transit,2020,Space,20.3730000
1,1,0,Radial Velocity,2018,Ground,10.2525000
1,2,0,Transit,2019,Space,16.3200000
1,2,0,Transit,2019,Space,16.3200000
1,2,0,Transit,2019,Space,16.3200000
2,2,0,Radial Velocity,2014,Ground,3.5622800
2,2,0,Radial Velocity,2014,Ground,3.5622800
2,2,0,Radial Velocity,2014,Ground,3.5622800
2,2,0,Radial Velocity,2018,Ground,3.5622800
1,1,0,Radial Velocity,2014,Ground,25.8557000
1,3,0,Radial Velocity,2013,Ground,15.1285000
1,3,0,Radial Velocity,2013,Ground,15.1285000
1,3,0,Radial Velocity,2013,Ground,15.1285000
1,1,0,Radial Velocity,2009,Ground,12.3560000
1,1,0,Radial Velocity,2009,Ground,12.3560000
1,1,0,Radial Velocity,2009,Ground,12.3560000
1,3,0,Radial Velocity,2014,Ground,11.9407000
1,3,0,Radial Velocity,2014,Ground,11.9407000
1,3,0,Radial Velocity,2014,Ground,11.9407000
1,3,0,Radial Velocity,2020,Ground,11.9407000
1,2,0,Radial Velocity,2022,Ground,37.0788000
1,2,0,Radial Velocity,2022,Ground,37.0788000
1,1,0,Radial Velocity,2020,Ground,28.4434000
2,2,0,Radial Velocity,2020,Ground,5.7562400
2,2,0,Radial Velocity,2020,Ground,5.7562400
2,2,0,Radial Velocity,2014,Ground,5.7562400
2,2,0,Radial Velocity,2014,Ground,5.7562400
2,2,0,Radial Velocity,2014,Ground,5.7562400
1,1,0,Radial Velocity,2020,Ground,5.5805700
1,1,0,Radial Velocity,2014,Ground,23.6062000
1,2,0,Radial Velocity,2017,Ground,5.9215350
1,2,0,Radial Velocity,2017,Ground,5.9215350
2,1,0,Radial Velocity,2000,Ground,17.5559000
1,1,0,Radial Velocity,2020,Ground,16.6186000
1,1,0,Transit,2022,Space,22.4751000
1,1,0,Transit,2022,Space,22.4751000
1,3,0,Radial Velocity,2017,Ground,28.4712000
1,3,0,Radial Velocity,2017,Ground,28.4712000
1,3,0,Radial Velocity,2017,Ground,28.4712000
1,2,0,Radial Velocity,2007,Ground,15.1968000
1,2,0,Radial Velocity,2007,Ground,15.1968000
1,2,0,Radial Velocity,2007,Ground,15.1968000
1,2,0,Radial Velocity,2007,Ground,15.1968000
1,2,0,Radial Velocity,2018,Ground,15.1968000
1,2,0,Radial Velocity,2018,Ground,15.1968000
1,2,0,Radial Velocity,2018,Ground,15.1968000
1,2,0,Radial Velocity,2018,Ground,15.1968000
2,1,0,Radial Velocity,2022,Ground,18.2381700
